State_Full,Population_2020,PCP_2020,PCP_per_100k_2020
Alabama,5024294,3577.0,71.19408219343852
Alaska,733374,743.0,101.31256357601987
Arizona,7157902,5269.0,73.61095471829596
Arkansas,3011490,2295.0,76.20812288933385
California,39538212,35172.0,88.95698166624227
Colorado,5773707,5266.0,91.20656798136795
Connecticut,3605912,3476.0,96.39724984969128
Delaware,989946,818.0,82.63076975915858
District of Columbia,689548,1131.0,164.02048878395703
Florida,21538216,17215.0,79.92769689003026
Georgia,10713771,7980.0,74.4835781910963
Hawaii,1455274,1432.0,98.40071354260435
Idaho,1839117,1266.0,68.83738228726068
Illinois,12813469,11502.0,89.76491846197153
Indiana,6785442,4916.0,72.44922290987087
Iowa,3190427,2529.0,79.26838633198628
Kansas,2937835,2531.0,86.15187714762742
Kentucky,4506297,3163.0,70.19066874642306
Louisiana,4657785,3763.0,80.78947396670306
Maine,1363177,1570.0,115.17213098519122
Maryland,6177253,5893.0,95.39839148566523
Massachusetts,7032933,8387.0,119.25323332384937
Michigan,10077674,9280.0,92.0847409828895
Minnesota,5706804,5632.0,98.68921378761212
Mississippi,2961306,1786.0,60.31122754622454
Missouri,6154889,5041.0,81.90237061951889
Montana,1084244,949.0,87.52642394147443
Nebraska,1961965,1678.0,85.5265002178938
Nevada,3104617,2025.0,65.2254368252187
New Hampshire,1377524,1328.0,96.40485392631997
New Jersey,9289039,8247.0,88.78205807942028
New Mexico,2117525,1733.0,81.84082832552154
New York,20202320,19376.0,95.90977669891379
North Carolina,10439459,8287.0,79.38150817968632
North Dakota,779079,686.0,88.05268785322156
Ohio,11799331,10224.0,86.64898035320816
Oklahoma,3959411,2588.0,65.36325731276698
Oregon,4237279,4274.0,100.86661746842725
Pennsylvania,13002788,11975.0,92.0956336441077
Puerto Rico,3285874,3341.0,101.67766627691749
Rhode Island,1097371,1287.0,117.28029991680116
South Carolina,5118422,3907.0,76.3321195477825
South Dakota,886668,785.0,88.53370145308052
Tennessee,6910786,5381.0,77.863791470319
Texas,29145459,19994.0,68.60073811155281
Utah,3271614,2080.0,63.5771823937665
Vermont,643077,802.0,124.71290374247563
Virginia,8631373,7208.0,83.5093095849293
Washington,7705267,7188.0,93.28683872992332
West Virginia,1793713,1590.0,88.64294343632454
Wisconsin,5893713,5235.0,88.82346323955714
Wyoming,576850,421.0,72.98257779318713
